Date,High,Low,Open,Close,Volume,Adj Close
1993-07-07,17.125,16.375,16.875,16.875,29800.0,16.875
1993-07-08,17.125,16.75,17.0,17.0,27000.0,17.0
1993-07-09,17.25,16.75,17.0,17.0,35000.0,17.0
1993-07-12,17.0,16.625,16.75,16.75,16100.0,16.75
1993-07-13,17.375,16.375,16.875,16.875,83800.0,16.875
1993-07-14,17.25,16.75,17.0,17.0,23600.0,17.0
1993-07-15,17.75,16.75,17.375,17.375,70900.0,17.375
1993-07-16,17.5,17.125,17.375,17.375,19000.0,17.375
1993-07-19,17.25,17.0,17.0,17.0,14400.0,17.0
1993-07-20,17.0,16.625,16.625,16.625,25300.0,16.625
1993-07-21,17.0,16.625,16.75,16.75,17300.0,16.75
1993-07-22,16.75,14.5,14.5,14.5,73500.0,14.5
1993-07-23,15.125,14.5,14.75,14.75,115100.0,14.75
1993-07-26,15.125,14.625,14.75,14.75,57900.0,14.75
1993-07-27,15.375,14.875,15.0,15.0,46800.0,15.0
1993-07-28,15.0,14.625,14.625,14.625,78200.0,14.625
1993-07-29,15.0,14.5,14.75,14.75,46700.0,14.75
1993-07-30,14.875,14.625,14.75,14.75,14900.0,14.75
1993-08-02,14.875,14.5,14.5,14.5,24100.0,14.5
1993-08-03,15.0,14.75,14.75,14.75,39700.0,14.75
1993-08-04,14.75,14.25,14.375,14.375,31000.0,14.375
1993-08-05,14.375,14.0,14.0,14.0,26400.0,14.0
1993-08-06,14.125,13.875,13.875,13.875,49000.0,13.875
1993-08-09,14.125,13.875,14.0,14.0,244800.0,14.0
1993-08-10,13.875,13.5,13.625,13.625,33000.0,13.625
1993-08-11,13.375,12.625,12.75,12.75,84900.0,12.75
1993-08-12,12.75,12.375,12.625,12.625,46000.0,12.625
1993-08-13,12.75,12.375,12.5,12.5,47400.0,12.5
1993-08-16,13.375,12.5,13.125,13.125,97300.0,13.125
1993-08-17,13.375,13.0,13.375,13.375,59600.0,13.375
1993-08-18,13.5,13.125,13.25,13.25,19800.0,13.25
1993-08-19,13.375,13.25,13.25,13.25,13600.0,13.25
1993-08-20,13.375,13.25,13.375,13.375,17200.0,13.375
1993-08-23,13.5,13.25,13.375,13.375,125100.0,13.375
1993-08-24,13.75,13.25,13.75,13.75,57700.0,13.75
1993-08-25,13.875,13.5,13.625,13.625,36900.0,13.625
1993-08-26,13.875,13.5,13.875,13.875,10500.0,13.875
1993-08-27,14.0,13.75,13.75,13.75,29600.0,13.75
1993-08-30,14.125,13.875,14.0,14.0,71000.0,14.0
1993-08-31,14.125,14.0,14.125,14.125,16000.0,14.125
1993-09-01,14.375,14.125,14.125,14.125,8500.0,14.125
1993-09-02,14.125,13.875,13.875,13.875,25200.0,13.875
1993-09-03,13.875,13.5,13.625,13.625,16800.0,13.625
1993-09-07,14.375,13.625,14.125,14.125,47900.0,14.125
1993-09-08,14.0,13.875,13.875,13.875,36800.0,13.875
1993-09-09,14.0,13.375,13.375,13.375,32400.0,13.375
1993-09-10,13.625,13.375,13.625,13.625,9000.0,13.625
1993-09-13,14.0,13.375,13.375,13.375,36000.0,13.375
1993-09-14,13.75,13.5,13.75,13.75,15200.0,13.75
1993-09-15,13.625,13.375,13.625,13.625,8600.0,13.625
1993-09-16,13.625,13.125,13.5,13.5,32400.0,13.5
1993-09-17,13.875,13.375,13.75,13.75,21500.0,13.75
1993-09-20,13.75,13.5,13.5,13.5,17800.0,13.5
1993-09-21,13.75,13.5,13.625,13.625,14200.0,13.625
1993-09-22,13.875,13.5,13.875,13.875,23900.0,13.875
1993-09-23,14.0,13.75,14.0,14.0,46400.0,14.0
1993-09-24,13.75,13.5,13.625,13.625,7200.0,13.625
1993-09-27,13.625,13.25,13.25,13.25,22300.0,13.25
1993-09-28,13.125,12.625,13.0,13.0,49500.0,13.0
1993-09-29,13.125,12.875,13.125,13.125,25600.0,13.125
1993-09-30,13.0,12.875,13.0,13.0,43600.0,13.0
1993-10-01,13.25,12.875,13.0,13.0,24800.0,13.0
1993-10-04,13.375,13.0,13.125,13.125,20200.0,13.125
1993-10-05,13.5,13.0,13.25,13.25,26000.0,13.25
1993-10-06,13.625,13.0,13.125,13.125,24000.0,13.125
1993-10-07,13.75,13.125,13.375,13.375,31400.0,13.375
1993-10-08,13.625,13.125,13.375,13.375,20200.0,13.375
1993-10-11,13.875,13.375,13.75,13.75,78900.0,13.75
1993-10-12,13.5,13.0,13.125,13.125,22600.0,13.125
1993-10-13,13.375,13.0,13.125,13.125,21500.0,13.125
1993-10-14,13.5,13.125,13.5,13.5,29600.0,13.5
1993-10-15,13.5,13.125,13.125,13.125,31500.0,13.125
1993-10-18,13.375,13.0,13.25,13.25,31800.0,13.25
1993-10-19,13.25,12.875,13.125,13.125,20500.0,13.125
1993-10-20,13.375,12.875,13.375,13.375,29600.0,13.375
1993-10-21,13.75,13.125,13.625,13.625,27900.0,13.625
1993-10-22,13.75,13.125,13.125,13.125,45400.0,13.125
1993-10-25,13.375,13.125,13.375,13.375,17200.0,13.375
1993-10-26,13.875,13.25,13.5,13.5,49400.0,13.5
1993-10-27,13.75,13.5,13.75,13.75,16100.0,13.75
1993-10-28,14.0,13.375,13.875,13.875,132300.0,13.875
1993-10-29,14.125,13.625,14.0,14.0,160000.0,14.0
1993-11-01,14.5,14.125,14.5,14.5,230600.0,14.5
1993-11-02,14.5,14.125,14.375,14.375,43300.0,14.375
